ipopt_zL_out
Variable noncollocation_error
0 -5.433192542382959e-09
1 -4.964390628412209e-09
2 -4.606485939537438e-09
3 -1.3053601319989636e-08
4 -1.2276851438818144e-08
5 -1.1486665857215107e-08
6 -1.0814057186025204e-08
7 -1.0594107932981377e-08
8 -1.1026985640821273e-08
9 -1.1956892843689005e-08
10 -9.608652695929203e-09
11 -1.0348426776266979e-08
12 -1.119504334136334e-08
13 -1.2177646854908237e-08
14 -1.336020827806839e-08
Variable virtual_noncollocation_error_sum
None -4.103137370668473e-11
Variable time
Variable tf
0 -1.3671083528204905e-12
1 -1.653225145030489e-12
2 -1.9901195647403522e-12
3 -1.630441493128107e-12
4 -1.8183554465630017e-12
5 -1.911977576810791e-12
6 -1.8948199568852218e-12
7 -1.8101783972215255e-12
8 -1.692718550354711e-12
9 -1.5361391847697554e-12
10 -3.523436027770713e-12
11 -2.8004837836198124e-12
12 -2.2344607672352526e-12
13 -1.7950644004004121e-12
14 -1.4520612591882462e-12
Variable rx
0.0 -9.999999999989999e-15
0.010337 -1.0029139886060578e-14
0.042997 -1.0150682900845687e-14
0.06666666666666667 -1.0265735042624223e-14
0.077003 -1.0318529210884197e-14
0.109663 -1.0507944201032493e-14
0.13333333333333333 -1.0665603550739511e-14
0.14367 -1.0734712136970896e-14
0.17633 -1.096939904496945e-14
0.2 -1.1153343075050214e-14
0.210337 -1.1245078794686301e-14
0.242997 -1.1577108589753397e-14
0.26666666666666666 -1.1861299912991124e-14
0.277003 -1.1992461439152538e-14
0.309663 -1.2458007569146287e-14
0.3333333333333333 -1.2849392356324354e-14
0.34367 -1.3032896341788242e-14
0.37633 -1.3681981441208208e-14
0.4 -1.4227366012113285e-14
0.410337 -1.4489016329973193e-14
0.442997 -1.5421410336550167e-14
0.4666666666666667 -1.6215134505651202e-14
0.477003 -1.660494071248131e-14
0.509663 -1.8019712936655734e-14
0.5333333333333333 -1.925855590392749e-14
0.54367 -1.9884895911944034e-14
0.57633 -2.2237138986997625e-14
0.6 -2.4406916693904282e-14
0.610337 -2.5561667991613298e-14
0.642997 -3.0198132283101576e-14
0.6666666666666666 -3.495066295845707e-14
0.677003 -3.692451686479292e-14
0.709663 -4.439331300446332e-14
0.7333333333333333 -5.131688413091323e-14
0.74367 -5.507037657897345e-14
0.77633 -7.006297304267249e-14
0.8 -8.509513571248095e-14
0.810337 -9.379483505282149e-14
0.842997 -1.3210400989461054e-13
0.8666666666666667 -1.7660966389422272e-13
0.877003 -2.0566021685272579e-13
0.909663 -3.6521291971420975e-13
0.9333333333333333 -6.332604046594976e-13
0.94367 -8.762541363321298e-13
0.97633 -4.461021137600706e-12
1.0 -0.010000000000000007
Variable ry
0.0 -1.3333333244444443e-14
0.010337 -1.3076785903602415e-14
0.042997 -1.2428149223966408e-14
0.06666666666666667 -1.2087577085156288e-14
0.077003 -1.197638478891194e-14
0.109663 -1.1715336417908078e-14
0.13333333333333333 -1.1604898584300467e-14
0.14367 -1.1577647078705361e-14
0.17633 -1.155754019535604e-14
0.2 -1.1604861297722306e-14
0.210337 -1.1640541411162734e-14
0.242997 -1.1769846794018618e-14
0.26666666666666666 -1.1879646945204464e-14
0.277003 -1.1929838909149054e-14
0.309663 -1.210487689066698e-14
0.3333333333333333 -1.2247723361312336e-14
0.34367 -1.2313244128288651e-14
0.37633 -1.253735104731737e-14
0.4 -1.271634789429652e-14
0.410337 -1.279924565249934e-14
0.442997 -1.3079518236179223e-14
0.4666666666666667 -1.3300391672656038e-14
0.477003 -1.3403272822317505e-14
0.509663 -1.3748338544887649e-14
0.5333333333333333 -1.401772047121458e-14
0.54367 -1.4143597927240168e-14
0.57633 -1.4563296277235033e-14
0.6 -1.4888641289884113e-14
0.610337 -1.504203411673436e-14
0.642997 -1.5551326247185158e-14
0.6666666666666666 -1.5944138839340492e-14
0.677003 -1.6082035133116733e-14
0.709663 -1.6530139625029493e-14
0.7333333333333333 -1.686365254005252e-14
0.74367 -1.7019109721482685e-14
0.77633 -1.7511860213327154e-14
0.8 -1.786553990070792e-14
0.810337 -1.8027716703244996e-14
0.842997 -1.8522012669527812e-14
0.8666666666666667 -1.8855453069017964e-14
0.877003 -1.9002520019781036e-14
0.909663 -1.9416488650684233e-14
0.9333333333333333 -1.9658233155829054e-14
0.94367 -1.9752667734869893e-14
0.97633 -1.995466433119962e-14
1.0 -1.9999999800000003e-14
Variable rz
0.0 -3.7037036488340194e-14
0.010337 -3.852158909881097e-14
0.042997 -4.326888306669501e-14
0.06666666666666667 -4.6586979430732394e-14
0.077003 -4.784920403483389e-14
0.109663 -5.131092338000019e-14
0.13333333333333333 -5.31169991599161e-14
0.14367 -5.3641939520836915e-14
0.17633 -5.437948201430332e-14
0.2 -5.4006659578591537e-14
0.210337 -5.3641970984393824e-14
0.242997 -5.2319263921782205e-14
0.26666666666666666 -5.1220901927344084e-14
0.277003 -5.0730754806374967e-14
0.309663 -4.9089713620152705e-14
0.3333333333333333 -4.783301113754746e-14
0.34367 -4.728135192463028e-14
0.37633 -4.5507440058163055e-14
0.4 -4.4208428848389625e-14
0.410337 -4.363963564990993e-14
0.442997 -4.1856643194675614e-14
0.4666666666666667 -4.0588806797966885e-14
0.477003 -4.003525599168654e-14
0.509663 -3.8330952311911145e-14
0.5333333333333333 -3.714427776466445e-14
0.54367 -3.66277493100242e-14
0.57633 -3.5058184800758174e-14
0.6 -3.398200001986751e-14
0.610337 -3.3511540679524204e-14
0.642997 -3.209613578517504e-14
0.6666666666666666 -3.1136979537353054e-14
0.677003 -3.082362625393017e-14
0.709663 -2.9876593416044165e-14
0.7333333333333333 -2.923545061471313e-14
0.74367 -2.895330437718026e-14
0.77633 -2.8121998109771252e-14
0.8 -2.7578352014629815e-14
0.810337 -2.734238421101997e-14
0.842997 -2.666977084107151e-14
0.8666666666666667 -2.625194957364661e-14
0.877003 -2.6076017825730297e-14
0.909663 -2.5605991970520754e-14
0.9333333333333333 -2.534743396620792e-14
0.94367 -2.524939523215314e-14
0.97633 -2.5044956590619917e-14
1.0 -2.499999975e-14
Variable vx
0.0 -5.40540534696859e-13
0.010337 -5.478178530317601e-13
0.042997 -5.701492853732136e-13
0.06666666666666667 -5.854393667348802e-13
0.077003 -5.913224498900175e-13
0.109663 -6.082712661996007e-13
0.13333333333333333 -6.187132192279159e-13
0.14367 -6.224442497767363e-13
0.17633 -6.317447966155221e-13
0.2 -6.359235184789802e-13
0.210337 -6.450219023262069e-13
0.242997 -6.747385951172973e-13
0.26666666666666666 -6.972063442077743e-13
0.277003 -7.068612441372697e-13
0.309663 -7.382172047383233e-13
0.3333333333333333 -7.617556930299378e-13
0.34367 -7.720621529186398e-13
0.37633 -8.054224213428676e-13
0.4 -8.303831661038179e-13
0.410337 -8.415296964284255e-13
0.442997 -8.776473228061973e-13
0.4666666666666667 -9.047577293380071e-13
0.477003 -9.170636462162002e-13
0.509663 -9.572130436273915e-13
0.5333333333333333 -9.876783709341522e-13
0.54367 -1.001734942018765e-12
0.57633 -1.048151937792391e-12
0.6 -1.0839706838598236e-12
0.610337 -1.100896129248786e-12
0.642997 -1.1576524288137637e-12
0.6666666666666666 -1.2023541323341906e-12
0.677003 -1.1583963972444444e-12
0.709663 -1.0379328710863636e-12
0.7333333333333333 -9.649221789838072e-13
0.74367 -9.345404577080377e-13
0.77633 -8.499535832649454e-13
0.8 -7.976888468697464e-13
0.810337 -7.755101121828734e-13
0.842997 -7.130287040541786e-13
0.8666666666666667 -6.738585647397736e-13
0.877003 -6.569605410842323e-13
0.909663 -6.089182614682031e-13
0.9333333333333333 -5.784574367394126e-13
0.94367 -5.651245794407435e-13
0.97633 -5.269417444668863e-13
1.0 -5.025125577636928e-13
Variable vy
0.0 -3.5087719052016e-13
0.010337 -3.5788950165157233e-13
0.042997 -3.820689989168663e-13
0.06666666666666667 -4.0177482974943366e-13
0.077003 -4.1034183956443707e-13
0.109663 -4.3993697093950993e-13
0.13333333333333333 -4.641059528167301e-13
0.14367 -4.747302193693917e-13
0.17633 -5.114798309569984e-13
0.2 -5.415219977799752e-13
0.210337 -5.444916012042616e-13
0.242997 -5.539018325453425e-13
0.26666666666666666 -5.607130514969804e-13
0.277003 -5.635570070099847e-13
0.309663 -5.724339523785619e-13
0.3333333333333333 -5.787175279981793e-13
0.34367 -5.813603740733192e-13
0.37633 -5.894336359890779e-13
0.4 -5.949690246323716e-13
0.410337 -5.972941075237713e-13
0.442997 -6.041803398650475e-13
0.4666666666666667 -6.086870910680444e-13
0.477003 -6.105432780099138e-13
0.509663 -6.157935759505618e-13
0.5333333333333333 -6.189865458333058e-13
0.54367 -6.202422844777404e-13
0.57633 -6.235136041264465e-13
0.6 -6.252186813904746e-13
0.610337 -6.258090279573694e-13
0.642997 -6.269719032820516e-13
0.6666666666666666 -6.271631061619351e-13
0.677003 -6.268962995414228e-13
0.709663 -6.242357789654277e-13
0.7333333333333333 -6.20649254389991e-13
0.74367 -6.185562122939843e-13
0.77633 -6.103524559229645e-13
0.8 -6.030169808238176e-13
0.810337 -5.99248206444416e-13
0.842997 -5.861394926844683e-13
0.8666666666666667 -5.756446677991369e-13
0.877003 -5.704785907656484e-13
0.909663 -5.534370136355867e-13
0.9333333333333333 -5.405459756312138e-13
0.94367 -5.343315239805919e-13
0.97633 -5.144790384392249e-13
1.0 -4.999999949999999e-13
Variable vz
0.0 -7.142857040816328e-13
0.010337 -6.957538933783104e-13
0.042997 -6.429006000061618e-13
0.06666666666666667 -6.092710219434104e-13
0.077003 -5.966307412770908e-13
0.109663 -5.599523832969025e-13
0.13333333333333333 -5.361297989036296e-13
0.14367 -5.269905051775022e-13
0.17633 -5.002035512284271e-13
0.2 -4.826017335105402e-13
0.210337 -4.810286574185518e-13
0.242997 -4.76213681449423e-13
0.26666666666666666 -4.728807617317034e-13
0.277003 -4.715248306578212e-13
0.309663 -4.674202286683515e-13
0.3333333333333333 -4.646255452899123e-13
0.34367 -4.634760303812114e-13
0.37633 -4.600542526825143e-13
0.4 -4.577819198363408e-13
0.410337 -4.568442323966467e-13
0.442997 -4.54121270371987e-13
0.4666666666666667 -4.523794876010533e-13
0.477003 -4.5167031990059987e-13
0.509663 -4.4968612720124596e-13
0.5333333333333333 -4.484904116147284e-13
0.54367 -4.480207900640453e-13
0.57633 -4.467912135617973e-13
0.6 -4.4613602909087517e-13
0.610337 -4.4590222352051934e-13
0.642997 -4.454028355587405e-13
0.6666666666666666 -4.4526076812887274e-13
0.677003 -4.4521824145235897e-13
0.709663 -4.456984125608758e-13
0.7333333333333333 -4.4662149837364935e-13
0.74367 -4.472059257483868e-13
0.77633 -4.4966886581126245e-13
0.8 -4.520402159199296e-13
0.810337 -4.5331044308475723e-13
0.842997 -4.579819893820032e-13
0.8666666666666667 -4.620058511043162e-13
0.877003 -4.640817157629611e-13
0.909663 -4.713984163001e-13
0.9333333333333333 -4.774516111349116e-13
0.94367 -4.805440173934117e-13
0.97633 -4.912660195631119e-13
1.0 -4.999999949999999e-13
Variable mass_prop
0.0 -1.4409221757717453e-13
0.010337 -1.4601210859218064e-13
0.042997 -1.5242915330614443e-13
0.06666666666666667 -1.5744399758324873e-13
0.077003 -1.595689468521123e-13
0.109663 -1.6667663148629461e-13
0.13333333333333333 -1.7223683858007738e-13
0.14367 -1.746183756804291e-13
0.17633 -1.8259561511457407e-13
0.2 -1.8884821619218814e-13
0.210337 -1.8945664268340484e-13
0.242997 -1.9140504930060285e-13
0.26666666666666666 -1.9284238230340944e-13
0.277003 -1.9345185511055978e-13
0.309663 -1.9540311131620815e-13
0.3333333333333333 -1.9684205714430273e-13
0.34367 -1.9746604699058315e-13
0.37633 -1.994638599410001e-13
0.4 -2.0093721671740568e-13
0.410337 -2.0158951147203467e-13
0.442997 -2.036786147656197e-13
0.4666666666666667 -2.0521994858131947e-13
0.477003 -2.0591142040148193e-13
0.509663 -2.0812713899873834e-13
0.5333333333333333 -2.0976300685560024e-13
0.54367 -2.105033893899556e-13
0.57633 -2.128774284379808e-13
0.6 -2.146317446284985e-13
0.610337 -2.1543641414554038e-13
0.642997 -2.1801896475814857e-13
0.6666666666666666 -2.1992969224841857e-13
0.677003 -2.2325179347144358e-13
0.709663 -2.3444084435019556e-13
0.7333333333333333 -2.432774462786461e-13
0.74367 -2.47585335876359e-13
0.77633 -2.622584817936665e-13
0.8 -2.7402855854798203e-13
0.810337 -2.798795315629763e-13
0.842997 -3.001268791471745e-13
0.8666666666666667 -3.167332934039374e-13
0.877003 -3.251854709547341e-13
0.909663 -3.551281737883249e-13
0.9333333333333333 -3.805217898135266e-13
0.94367 -3.938600700856394e-13
0.97633 -4.4291360460263264e-13
1.0 -4.868593702670854e-13
Variable ux
Variable uy
Variable uz
Variable thrust
Variable rx_dt
Variable ry_dt
Variable rz_dt
Variable vx_dt
Variable vy_dt
Variable vz_dt
Variable mass_prop_dt
Variable time_dt
