time,rx,ry,rz,vx,vy,vz,ux,uy,uz,thrust,mass_prop,time_dt,rx_dt,ry_dt,rz_dt,vx_dt,vy_dt,vz_dt,mass_prop_dt,tf,noncollocation_error,nfe,ncp
0.0,10000.0,2500.0,-1300.0,-15.0,85.0,-60.0,0.577350269189626,0.577350269189626,0.577350269189626,15000.0,694.0,173.1470902171703,-3022.728453493722,13750.623334629903,-9743.16308401883,-233.28750567533282,-540.5740280832078,361.0401015640102,-882.8029841025075,0.0,0.0,15,3
1.78977559592646,9970.94478058867,2647.138989543483,-1404.053134654746,-17.457575808536284,79.41584994228398,-56.27101831049218,0.07243515436214439,-0.8293987681029388,0.5539411808864367,15000.0,684.8747063936497,173.1470902171703,-3022.728453493722,13750.623334629903,-9743.16308401883,-233.28750567533282,-540.5740280832078,361.0401015640102,-882.8029841025075,173.1470902171703,0.018405374574938436,15,3
7.4447358823226235,9851.553928098829,3046.2502953355456,-1688.8703562752992,-24.607341554023925,61.73282716576764,-44.454961331008576,0.11600077267182234,-0.8257144105423535,0.5520321847159221,15000.0,656.0424816675492,173.1470902171703,-4260.689588059305,10688.85939463215,-7697.247200180958,-204.3418878889179,-542.0949710273137,362.4181283007569,-882.8029841025084,173.1470902171703,0.018405374574938436,15,3
11.543139347811351,9741.143677840715,3272.9564968623677,-1853.4775293788632,-29.188120017950503,48.89562966501679,-35.869432253077285,0.14832392982015433,-0.8219402847701779,0.5499219763881279,15000.0,635.1464746664983,173.1470902171703,-5053.83805001767,8466.13600083401,-6210.68782236225,-182.60412663290563,-542.4826152453853,362.94986078624504,-882.8029841024493,173.1470902171703,0.018405374574938436,15,3
13.202059505143069,9691.303669898873,3349.7650708545934,-1910.101115590952,-30.88753208427826,43.699251638066606,-32.39214500514412,0.16370399613774866,-0.8198296014654017,0.5487079607674857,15000.0,626.6883500544,160.48782808210743,-4957.072939022226,7013.197984206785,-5198.544998796266,-159.62899721563085,-502.60930479943306,336.39396065512676,-818.2588189343021,160.48782808210743,0.020143449083462345,15,3
18.443570021525357,9516.60934792329,3535.8197014193966,-2051.0972831340073,-35.599666867758124,27.305286362624475,-21.413388301822533,0.21264417465782096,-0.8117407137485952,0.5439296541162426,15000.0,599.9641289354107,160.48782808210743,-5713.313216053061,4382.166103497589,-3436.5881804383043,-128.73214311704336,-501.0603986780952,335.7495869410488,-818.2588189357892,160.48782808210743,0.020143449083462345,15,3
22.242327886618487,9375.934473494632,3617.050695275081,-2117.3635657495743,-38.3742327352695,15.468038079579541,-13.478006447007767,0.24887547220377468,-0.8043792609337044,0.5394766018235598,15000.0,580.5958867374937,160.48782808210743,-6158.597266000711,2482.4318360830525,-2163.055981556918,-105.60103730706668,-498.9945575380892,334.66289013546043,-818.2588189341681,160.48782808210743,0.020143449083462345,15,3
23.79540410052883,9315.57350905104,3637.3335392096033,-2135.7870583850527,-39.34304349325312,10.64595217925359,-10.243262570859969,0.2659119566155536,-0.8005041929563336,0.5371069431577076,15000.0,572.677415139418,150.24823667062898,-5911.222910117143,1599.5355426126914,-1539.032139025964,-88.65337902007317,-465.8573323394357,312.57201389085975,-766.0515202571398,150.24823667062898,0.02170851164538531,15,3
28.70249096180835,9116.269687587768,3652.36008115728,-2161.071159181531,-41.7082352323887,-4.488871425317275,-0.08138938011166144,0.31989898432494174,-0.786423281749624,0.528396689760659,15000.0,547.6582772551534,150.24823667062898,-6266.588798310203,-674.4450162950935,-12.22861084549269,-56.024827160343655,-460.6387990841349,309.5025570324789,-766.0515202584861,150.24823667062898,0.02170851164538531,15,3
32.25887699799371,8965.921636859634,3617.0783824354485,-2148.376540596813,-42.748387467443244,-15.33529694652837,7.210194433775826,0.3595901094383075,-0.7742595670878217,0.5207850573577596,15000.0,529.5257853870635,150.24823667062898,-6422.869837496161,-2304.101325036368,1083.3189997272023,-31.778889897366497,-455.6613887505885,306.48848598505634,-766.051520244614,150.24823667062898,0.02170851164538531,15,3
33.92653430950049,8892.77894985168,3590.665664413753,-2135.7881520112337,-44.96650681047583,-16.34244001827226,7.887820190502672,0.38038422002770017,-0.7672475836388729,0.5163709815183547,3000.0,527.8252510959331,161.33308087560457,-7254.58507994792,-2636.576197172635,1272.566332726594,-213.26291458133423,-97.01259104484693,65.29116275593871,-164.51367701827022,161.33308087560457,0.007660711345912292,15,3
39.195650666519164,8637.735337755646,3496.2872628658306,-2088.658164635994,-51.794458864129474,-19.46259607204343,9.989764995940426,0.4463161189615157,-0.741940801001227,0.5003256637079373,3000.0,522.4522569038937,161.33308087560457,-8356.159620834775,-3139.9605861402065,1611.6795640183404,-204.84700515194024,-93.94460886160844,63.351279127711805,-164.51367701771196,161.33308087560457,0.007660711345912292,15,3
43.01441572303395,8430.779146451428,3417.7585285609603,-2047.6720591287976,-56.57044090237385,-21.65566042921004,11.469797798045809,0.4944282103004349,-0.7203123233185699,0.4865088917322202,3000.0,518.5582069192,161.33308087560457,-9126.683517271289,-3493.774415440373,1850.4578157789556,-198.69120573842082,-91.29901825843,61.66461790423101,-164.51367701783695,161.33308087560457,0.007660711345912292,15,3
44.61655536190408,8338.571731889804,3382.3428083822478,-2028.8091830292478,-58.529521377078225,-22.555664098404463,12.077906755186987,0.5163845276829659,-0.7094825896645811,0.479563837807314,3000.0,516.9244819468859,154.99474751098833,-9071.768387779235,-3496.009461874864,1872.0121079814676,-188.1846487719348,-86.43037681436066,58.42128307591408,-158.05038677201262,154.99474751098833,0.008145400991356641,15,3
