ipopt_zU_out
Variable noncollocation_error
0 2.002860960088784e-11
1 2.0029737881101063e-11
2 2.003083992650384e-11
3 2.003192979384312e-11
4 2.0033010414139163e-11
5 1.999423061312415e-11
6 1.9994791245305755e-11
7 1.9995312017896996e-11
8 1.9995757208405944e-11
9 1.9996089813301927e-11
10 1.9996277738612444e-11
11 1.999630045112584e-11
12 1.999615394413126e-11
13 1.9995851894082323e-11
14 1.9995422575384032e-11
15 1.999490267551592e-11
16 1.9994330183883735e-11
17 2.0005741123059677e-11
18 2.0005423211069368e-11
19 2.0005117357576804e-11
20 2.0004827825714994e-11
21 2.0004555833698493e-11
22 2.000429884014012e-11
23 2.000404952254754e-11
24 2.0003793239392684e-11
Variable virtual_noncollocation_error_sum
None 1.0067661400817787e-13
Variable time
Variable tf
0 2.089487477010331e-13
1 1.6754730375015986e-13
2 1.4278751603487215e-13
3 1.26483231286422e-13
4 1.150897844630691e-13
5 1.595152126488667e-13
6 1.4167056637251037e-13
7 1.302127540189077e-13
8 1.2285601371367335e-13
9 1.1842931741155762e-13
10 1.1632751308908954e-13
11 1.1628553675499358e-13
12 1.1829280331430546e-13
13 1.2258995435864594e-13
14 1.2974582550567785e-13
15 1.4086495249132977e-13
16 1.5809026195786998e-13
17 9.643192013314687e-14
18 1.0210829108664989e-13
19 1.0942666291345275e-13
20 1.1907402515280654e-13
21 1.322224130975077e-13
22 1.5105056507276667e-13
23 1.8013275920198954e-13
24 2.310248197716929e-13
Variable rx
0.0 9.999998900000112e-15
0.006202 9.824829210437457e-15
0.025798 9.213077308362494e-15
0.04 8.737232128815704e-15
0.046202 8.539843810680049e-15
0.065798 7.918624442955132e-15
0.08 7.48073534480726e-15
0.086202 7.305957346631688e-15
0.105798 6.776835080761886e-15
0.12 6.418010321877114e-15
0.126202 6.276576649028855e-15
0.145798 5.854972569147944e-15
0.16 5.573394461391785e-15
0.166202 5.4626068204757064e-15
0.185798 5.1342949380861895e-15
0.2 4.9162416828458434e-15
0.206202 4.809654848001661e-15
0.225798 4.482457045419032e-15
0.24 4.255973630059788e-15
0.246202 4.16465120678425e-15
0.265798 3.8880041329899754e-15
0.28 3.699101484005249e-15
0.286202 3.6227512581884225e-15
0.305798 3.3928193389044733e-15
0.32 3.2367124076598702e-15
0.326202 3.173187013665299e-15
0.345798 2.9823098917885687e-15
0.36 2.8529567235290915e-15
0.366202 2.799833375090822e-15
0.385798 2.64029078842254e-15
0.4 2.532170372786425e-15
0.406202 2.487303106831816e-15
0.425798 2.3525140059070205e-15
0.44 2.2610935146138727e-15
0.446202 2.2227400158603927e-15
0.465798 2.1074491737479256e-15
0.48 2.0291690842032698e-15
0.486202 1.995966098396308e-15
0.505798 1.8960932298438338e-15
0.52 1.8282109412935027e-15
0.526202 1.799108583028131e-15
0.545798 1.7115224564119993e-15
0.56 1.6519401993464348e-15
0.566202 1.6261349198476435e-15
0.585798 1.5484425533404679e-15
0.6 1.4955589677873437e-15
0.606202 1.4724370117323556e-15
0.625798 1.4028115049337307e-15
0.64 1.355404176984636e-15
0.646202 1.334497039321034e-15
0.665798 1.2715438632843808e-15
0.68 1.2286793747995824e-15
0.686202 1.2151249966907727e-15
0.705798 1.1755233321146959e-15
0.72 1.149605318712358e-15
0.726202 1.1384784614845147e-15
0.745798 1.1059873867274138e-15
0.76 1.0847563455630828e-15
0.766202 1.0756216169741426e-15
0.785798 1.0490271940798353e-15
0.8 1.0317381821634357e-15
0.806202 1.0243023489129772e-15
0.825798 1.0027948382262147e-15
0.84 9.889602855186563e-16
0.846202 9.830361833972348e-16
0.865798 9.661155552829473e-16
0.88 9.554528400942218e-16
0.886202 9.509410683339558e-16
0.905798 9.38373116895302e-16
0.92 9.307848801177744e-16
0.926202 9.27669690485453e-16
0.945798 9.194857375798906e-16
0.96 9.150716438089472e-16
0.966202 9.134321784203204e-16
0.985798 9.099805099542172e-16
1.0 9.090909e-16
Variable ry
0.0 3.999999920000002e-15
0.006202 4.156328875214826e-15
0.025798 4.68371962495692e-15
0.04 5.092670863206622e-15
0.046202 5.264215369917085e-15
0.065798 5.812569265811599e-15
0.08 6.20218949369709e-15
0.086202 6.3560543182877455e-15
0.105798 6.801713284547492e-15
0.12 7.068695315046038e-15
0.126202 7.16082310220036e-15
0.145798 7.369822442204986e-15
0.16 7.434270526102616e-15
0.166202 7.438246614680171e-15
0.185798 7.363589791782084e-15
0.2 7.23105343232844e-15
0.206202 7.147130221053518e-15
0.225798 6.8741628893856256e-15
0.24 6.6712271834773555e-15
0.246202 6.586049659343227e-15
0.265798 6.315858972151439e-15
0.28 6.120526361005643e-15
0.286202 6.039002447115436e-15
0.305798 5.784276225376198e-15
0.32 5.603258625681885e-15
0.326202 5.527682727820517e-15
0.345798 5.293805280412014e-15
0.36 5.129433497668028e-15
0.366202 5.060535230506717e-15
0.385798 4.848695121449763e-15
0.4 4.700920569197608e-15
0.406202 4.638597427478303e-15
0.425798 4.447847878926407e-15
0.44 4.315492850771933e-15
0.446202 4.259257647288448e-15
0.465798 4.087733595985636e-15
0.48 3.969199625505736e-15
0.486202 3.918430454455691e-15
0.505798 3.764009727619383e-15
0.52 3.657647586512899e-15
0.526202 3.611716976163023e-15
0.545798 3.472350963667113e-15
0.56 3.3766362293040033e-15
0.566202 3.334971562417344e-15
0.585798 3.2088317450809653e-15
0.6 3.122434952755778e-15
0.606202 3.0845418044995915e-15
0.625798 2.9700688990065503e-15
0.64 2.89187154708907e-15
0.646202 2.8573378448022933e-15
0.665798 2.753241812124773e-15
0.68 2.6823261315744822e-15
0.686202 2.6596720656611247e-15
0.705798 2.5907557869484232e-15
0.72 2.5433635433087585e-15
0.726202 2.5224412713264552e-15
0.745798 2.4592930226854348e-15
0.76 2.4163184718852625e-15
0.766202 2.397398742645684e-15
0.785798 2.3407932344114874e-15
0.8 2.3027352530665454e-15
0.806202 2.2860516370607723e-15
0.825798 2.2366871717570277e-15
0.84 2.204027932473322e-15
0.846202 2.189817415572209e-15
0.865798 2.148448100971227e-15
0.88 2.121753787314865e-15
0.886202 2.1103056517652484e-15
0.905798 2.0779073320945282e-15
0.92 2.057961923534463e-15
0.926202 2.049686562816472e-15
0.945798 2.0277013909129704e-15
0.96 2.015715419604181e-15
0.966202 2.011257517240645e-15
0.985798 2.0020133059829623e-15
1.0 1.99999998e-15
Variable rz
0.0 1.8867924385902456e-15
0.006202 1.863429081544687e-15
0.025798 1.7989111271726457e-15
0.04 1.7600136238643696e-15
0.046202 1.7458356527161287e-15
0.065798 1.7069663853432678e-15
0.08 1.6839875537597969e-15
0.086202 1.6757356332015181e-15
0.105798 1.6538847518811034e-15
0.12 1.64185826017639e-15
0.126202 1.6377945677799183e-15
0.145798 1.6282634661592269e-15
0.16 1.6244186788592189e-15
0.166202 1.6235664042960603e-15
0.185798 1.6236908899717503e-15
0.2 1.6264460807161352e-15
0.206202 1.6284857689727774e-15
0.225798 1.635729497019348e-15
0.24 1.6417430161480178e-15
0.246202 1.6444356687463996e-15
0.265798 1.6536845760616558e-15
0.28 1.6610964929072835e-15
0.286202 1.6643860297250559e-15
0.305798 1.6754798296304607e-15
0.32 1.6841893768705462e-15
0.326202 1.6880495190535537e-15
0.345798 1.7009185964399554e-15
0.36 1.710887679023947e-15
0.366202 1.7153178615474925e-15
0.385798 1.7299717108673755e-15
0.4 1.7412177099158843e-15
0.406202 1.7462407461063626e-15
0.425798 1.762761510612039e-15
0.44 1.7753534098139173e-15
0.446202 1.7810144670485658e-15
0.465798 1.799554360391619e-15
0.48 1.8136114561020442e-15
0.486202 1.8199780863783936e-15
0.505798 1.8407599757272418e-15
0.52 1.8564527190812113e-15
0.526202 1.8636157635513572e-15
0.545798 1.886936367932683e-15
0.56 1.904488955687993e-15
0.566202 1.9125641561415063e-15
0.585798 1.9387993016375695e-15
0.6 1.958493569073003e-15
0.606202 1.9676236669156733e-15
0.625798 1.997234803401225e-15
0.64 2.0194147265262074e-15
0.646202 2.029771738130281e-15
0.665798 2.0633125273912693e-15
0.68 2.0883882411858133e-15
0.686202 2.096825801959219e-15
0.705798 2.123935311138023e-15
0.72 2.1439414816871593e-15
0.726202 2.153156582821829e-15
0.745798 2.1825108057338015e-15
0.76 2.203920873929235e-15
0.766202 2.213745284371217e-15
0.785798 2.2447126921408968e-15
0.8 2.266966665140247e-15
0.806202 2.2771146992860264e-15
0.825798 2.3086516964471853e-15
0.84 2.3308516448272108e-15
0.846202 2.3408680349172454e-15
0.865798 2.371347476528296e-15
0.88 2.392129283585813e-15
0.886202 2.401327513168999e-15
0.905798 2.4283455685238177e-15
0.92 2.445745896490927e-15
0.926202 2.453146486125093e-15
0.945798 2.473349217223802e-15
0.96 2.484709746441925e-15
0.966202 2.4890001754384883e-15
0.985798 2.498014484058236e-15
1.0 2.499999975e-15
Variable vx
0.0 4.651162747431044e-14
0.006202 4.617657996368053e-14
0.025798 4.519772189542082e-14
0.04 4.455880568818874e-14
0.046202 4.4314474975113734e-14
0.065798 4.360544308728611e-14
0.08 4.314796575253398e-14
0.086202 4.297388800793912e-14
0.105798 4.247641688131172e-14
0.12 4.216353216199749e-14
0.126202 4.204631345320958e-14
0.145798 4.1722034088013714e-14
0.16 4.1529308730282725e-14
0.166202 4.146009893581997e-14
0.185798 4.1283629377333115e-14
0.2 4.1194903245340456e-14
0.206202 4.096152595325951e-14
0.225798 4.025240448668338e-14
0.24 3.9763871190114004e-14
0.246202 3.9566687291732475e-14
0.265798 3.896646804644346e-14
0.28 3.8552000732172026e-14
0.286202 3.83830443635219e-14
0.305798 3.7867958596045436e-14
0.32 3.751155087527414e-14
0.326202 3.736473230719308e-14
0.345798 3.691646112620579e-14
0.36 3.660564452860753e-14
0.366202 3.6476180700697097e-14
0.385798 3.6080232442417415e-14
0.4 3.580505209500477e-14
0.406202 3.568908799945988e-14
0.425798 3.5333714319661963e-14
0.44 3.508604083584797e-14
0.446202 3.498039356258137e-14
0.465798 3.46558547475378e-14
0.48 3.442891621868183e-14
0.486202 3.4330900809703613e-14
0.505798 3.402896475068949e-14
0.52 3.381702627990988e-14
0.526202 3.37243376104625e-14
0.545798 3.3437938334171526e-14
0.56 3.3236081685526574e-14
0.566202 3.314671487902374e-14
0.585798 3.286972007673434e-14
0.6 3.267369103983372e-14
0.606202 3.258588818888733e-14
0.625798 3.2312940839459546e-14
0.64 3.2119042469094845e-14
0.646202 3.203125682523288e-14
0.665798 3.17576662521051e-14
0.68 3.1562683099247534e-14
0.686202 3.1749255363816804e-14
0.705798 3.235547349496572e-14
0.72 3.281101079655341e-14
0.726202 3.3023636940787756e-14
0.745798 3.371496021377287e-14
0.76 3.423495681901861e-14
0.766202 3.4478763056225825e-14
0.785798 3.5272465863339146e-14
0.8 3.587053467519081e-14
0.806202 3.6152311136554445e-14
0.825798 3.707140215240706e-14
0.84 3.7765808376263393e-14
0.846202 3.809473510072111e-14
0.865798 3.917052530703816e-14
0.88 3.998634112561621e-14
0.886202 4.037514470791639e-14
0.905798 4.165138271071003e-14
0.92 4.26240055591272e-14
0.926202 4.309088530245299e-14
0.945798 4.4630731736959395e-14
0.96 4.581191694648648e-14
0.966202 4.638392884446217e-14
0.985798 4.8282400088049266e-14
1.0 4.975124328605728e-14
Variable vy
0.0 8.695652022684312e-14
0.006202 8.43713549163104e-14
0.025798 7.711617708958142e-14
0.04 7.258500108124942e-14
0.046202 7.0883152680023e-14
0.065798 6.599305866563824e-14
0.08 6.285093401365335e-14
0.086202 6.164760168675339e-14
0.105798 5.813524591185892e-14
0.12 5.583470519444279e-14
0.126202 5.494047217219106e-14
0.145798 5.2301798989402916e-14
0.16 5.0550238504223423e-14
0.166202 4.9861147154452595e-14
0.185798 4.7812185452891664e-14
0.2 4.643919296432352e-14
0.206202 4.630423431756645e-14
0.225798 4.5887735201507764e-14
0.24 4.5595376529006963e-14
0.246202 4.547617332769225e-14
0.265798 4.510936628876248e-14
0.28 4.48529452477472e-14
0.286202 4.474778732554992e-14
0.305798 4.442543805755706e-14
0.32 4.420131301044638e-14
0.326202 4.4108882765518006e-14
0.345798 4.3826931519960296e-14
0.36 4.363225049868297e-14
0.366202 4.355155018267637e-14
0.385798 4.3306891466435674e-14
0.4 4.3139441772391666e-14
0.406202 4.306973524754447e-14
0.425798 4.286004311786441e-14
0.44 4.271813418831005e-14
0.446202 4.265890045893964e-14
0.465798 4.2482492669469734e-14
0.48 4.236486869592999e-14
0.486202 4.231576675161486e-14
0.505798 4.217150671450115e-14
