Duals
Constraint rx_dt_disc_eq
0.006202 0.01522642813819185
0.025798 0.021050638598468847
0.04 0.004366530990941304
0.046202 0.015010375852267145
0.065798 0.021389107736246662
0.08 0.004045133314559623
0.086202 0.014778569857950938
0.105798 0.021752266811967232
0.12 0.003700464833974055
0.126202 0.014531487076243183
0.145798 0.022139368137311002
0.16 0.003333210318013073
0.166202 0.014270349000007267
0.185798 0.022548499454489196
0.2 0.0029451675807536716
0.206202 0.013967587274186129
0.225798 0.023017945946627205
0.24 0.00249558522386969
0.246202 0.013612481694423263
0.265798 0.023574336190938114
0.28 0.0019671890438935917
0.286202 0.0132513958377726
0.305798 0.02414041777540923
0.32 0.0014303963883222327
0.326202 0.01289617087857202
0.345798 0.024697608120964387
0.36 0.0009027311487185122
0.366202 0.012560452647079856
0.385798 0.025224484708083587
0.4 0.0004043919707548665
0.406202 0.012258062795194194
0.425798 0.025699334106127396
0.44 -4.4170219406541796e-05
0.446202 0.012000963701069733
0.465798 0.026103341196378263
0.48 -0.0004252734628273308
0.486202 0.0117973813100471
0.505798 0.02642353555802289
0.52 -0.0007267882039175482
0.526202 0.011650680190920262
0.545798 0.026654561449668872
0.56 -0.000943800943804106
0.566202 0.011559317771825898
0.585798 0.0267987566380961
0.6 -0.0010786755843669505
0.606202 0.011517779775515134
0.625798 0.026864691103844443
0.64 -0.001139660246683846
0.646202 0.011518068608463022
0.665798 0.026864835627336988
0.68 -0.0011386762349885225
0.686202 0.011530848581402256
0.705798 0.026844799999212902
0.72 -0.0011197524269701642
0.726202 0.011560244957382844
0.745798 0.026798841940066986
0.76 -0.0010760113152424693
0.766202 0.011600576227518778
0.785798 0.026735690473334336
0.8 -0.0010160687593105812
0.806202 0.011649385157880143
0.825798 0.02665920047993299
0.84 -0.0009435623430976895
0.846202 0.011704538713935219
0.865798 0.026572717029278676
0.88 -0.0008616488273909976
0.886202 0.011764245233466029
0.905798 0.026479047924174902
0.92 -0.0007729786043224516
0.926202 0.011827053189642568
0.945798 0.026380464906297384
0.96 -0.0006796971977557438
0.966202 0.01189184361046962
0.985798 0.026278714358322616
1.0 -0.0005834556952343744
Constraint ry_dt_disc_eq
0.006202 0.02194160792013606
0.025798 0.020563718379173142
0.04 0.010256091651767054
0.046202 0.021930084311820558
0.065798 0.020581674423802016
0.08 0.010239057404857137
0.086202 0.021906285773596833
0.105798 0.020618843531214476
0.12 0.010203748000842668
0.126202 0.02186759850281763
0.145798 0.02067931895493613
0.16 0.010146289193997678
0.166202 0.02181121814844103
0.185798 0.020767492092799576
0.2 0.010062521450573927
0.206202 0.021724851936940362
0.225798 0.020900918411485298
0.24 0.009934132624607152
0.246202 0.021591917143396533
0.265798 0.021108425572880733
0.28 0.009736220681429044
0.286202 0.021416883111793163
0.305798 0.02138189831399132
0.32 0.009475736375106217
0.326202 0.021197264353754342
0.345798 0.021725286180298623
0.36 0.009149050003614365
0.366202 0.02093382119704288
0.385798 0.022137454711606816
0.4 0.008757349416052298
0.406202 0.020631226405064457
0.425798 0.022611135856965867
0.44 0.008307625463217226
0.446202 0.020297993623178346
0.465798 0.023133034061574062
0.48 0.007812560919758946
0.486202 0.019945531475240995
0.505798 0.023685303911620603
0.52 0.007289121870917737
0.526202 0.019586524008313965
0.545798 0.024248086496395555
0.56 0.0067561517796628535
0.566202 0.019233116298783475
0.585798 0.024802354767135163
0.6 0.006231679868452642
0.606202 0.018895431101077078
0.625798 0.025332243029577182
0.64 0.0057307230950314845
0.646202 0.018580743329138033
0.665798 0.025826346720738615
0.68 0.005264066222898743
0.686202 0.018435934512925203
0.705798 0.02605550708933534
0.72 0.005051689391840593
0.726202 0.018243653660595684
0.745798 0.02635719504540501
0.76 0.004766532276547827
0.766202 0.018065079672589347
0.785798 0.02663739947538318
0.8 0.0045016885359550176
0.806202 0.01790004036243843
0.825798 0.026896391900237612
0.84 0.004256899905531828
0.846202 0.017748052651003748
0.865798 0.027134932937263295
0.88 0.004031447425937861
0.886202 0.017608408576773295
0.905798 0.02735413773591899
0.92 0.0038242786682333696
0.926202 0.017480241604084956
0.945798 0.02755537253198029
0.96 0.003634105489611586
0.966202 0.017362569525978342
0.985798 0.0277401883725689
1.0 0.003459466646123279
Constraint rz_dt_disc_eq
0.006202 -0.01443879459355481
0.025798 -0.013447352468452486
0.04 -0.006783804927436567
0.046202 -0.014433840759753847
0.065798 -0.013455022929092219
0.08 -0.006776473135657459
0.086202 -0.014420897937531995
0.105798 -0.013475201595756273
0.12 -0.006757250608546695
0.126202 -0.014398217733701524
0.145798 -0.013510625756996566
0.16 -0.006723545038098122
0.166202 -0.014363915238051137
0.185798 -0.013564246475050569
0.2 -0.00667255999674037
0.206202 -0.014310004798499913
0.225798 -0.01364768236605019
0.24 -0.0065926506636175665
0.246202 -0.014225849171082
0.265798 -0.01377898627427671
0.28 -0.00646731151648905
0.286202 -0.014113694322640863
0.305798 -0.013954164231417605
0.32 -0.006300359494867325
0.326202 -0.013971734654818551
0.345798 -0.014176081571553494
0.36 -0.006089153557478443
0.366202 -0.013800305999228981
0.385798 -0.014444249710989053
0.4 -0.005834231384640349
0.406202 -0.013602350696856997
0.425798 -0.014754094146899162
0.44 -0.005539996883215995
0.446202 -0.013383395386254167
0.465798 -0.015096984984615381
0.48 -0.005214684084434409
0.486202 -0.013150944015306313
0.505798 -0.015461185147826784
0.52 -0.004869452879591565
0.526202 -0.012913411984954925
0.545798 -0.015833519352459555
0.56 -0.004516805707362436
0.566202 -0.012678917041107908
0.585798 -0.01620127022215799
0.6 -0.004168793541077347
0.606202 -0.012454278320050409
0.625798 -0.016553749966546225
0.64 -0.0038355327853205304
0.646202 -0.012244447286209064
0.665798 -0.016883196354248963
0.68 -0.0035243640256867903
0.686202 -0.012147794557821992
0.705798 -0.01703609184314773
0.72 -0.0033824961459251912
0.726202 -0.012019215828260515
0.745798 -0.017237823773731224
0.76 -0.003191808018914055
0.766202 -0.0118996391148284
