Duals
Constraint rx_dt_disc_eq
0.010337 0.2551104778489063
0.042997 0.34734176470073513
0.06666666666666667 0.07530653028003047
0.077003 0.2551104778559433
0.109663 0.34734176468969175
0.13333333333333333 0.07530653029047778
0.14367 0.25511047786166546
0.17633 0.3473417646807133
0.2 0.07530653029897275
0.210337 0.25511047787351426
0.242997 0.34734176466213623
0.26666666666666666 0.07530653031655744
0.277003 0.25511047786488267
0.309663 0.3473417646756826
0.3333333333333333 0.07530653030375146
0.34367 0.2551104778937686
0.37633 0.3473417646304147
0.4 0.07530653034662399
0.410337 0.2551104779230202
0.442997 0.3473417645845618
0.4666666666666667 0.07530653039003513
0.477003 0.25511047793901626
0.509663 0.3473417645594762
0.5333333333333333 0.07530653041376757
0.54367 0.25511047793822417
0.57633 0.3473417645607149
0.6 0.07530653041258883
0.610337 0.2551104779304784
0.642997 0.34734176457286997
0.6666666666666666 0.07530653040109857
0.677003 0.2551104778741652
0.709663 0.34734176466111705
0.7333333333333333 0.0753065303175248
0.74367 0.2551104778828273
0.77633 0.34734176464755434
0.8 0.07530653033038176
0.810337 0.25511047788002905
0.842997 0.34734176465195693
0.8666666666666667 0.07530653032622803
0.877003 0.2551104778762408
0.909663 0.347341764657935
0.9333333333333333 0.07530653032060104
0.94367 0.2551104778710273
0.97633 0.34734176466631284
1.0 0.07530653031287801
Constraint ry_dt_disc_eq
0.010337 0.31573892241448404
0.042997 0.42988949495656026
0.06666666666666667 0.09320355215588563
0.077003 0.3157389224142559
0.109663 0.42988949495691203
0.13333333333333333 0.09320355215555462
0.14367 0.3157389224141955
0.17633 0.4298894949569965
0.2 0.0932035521554715
0.210337 0.3157389224250575
0.242997 0.4298894949399618
0.26666666666666666 0.09320355217159718
0.277003 0.31573892236799306
0.309663 0.42988949502938
0.3333333333333333 0.09320355208691924
0.34367 0.31573892237285006
0.37633 0.4298894950217712
0.4 0.09320355209413175
0.410337 0.3157389223889797
0.442997 0.4298894949964974
0.4666666666666667 0.09320355211807614
0.477003 0.3157389224165469
0.509663 0.42988949495328743
0.5333333333333333 0.09320355215898911
0.54367 0.31573892244364477
0.57633 0.4298894949108023
0.6 0.09320355219919842
0.610337 0.31573892246588253
0.642997 0.42988949487593603
0.6666666666666666 0.0932035522321928
0.677003 0.31573892242440843
0.709663 0.42988949494094325
0.7333333333333333 0.09320355217064993
0.74367 0.31573892244278806
0.77633 0.4298894949121399
0.8 0.09320355219792249
0.810337 0.315738922448895
0.842997 0.42988949490256845
0.8666666666666667 0.09320355220698588
0.877003 0.3157389224562402
0.909663 0.4298894948910586
0.9333333333333333 0.09320355221788673
0.94367 0.31573892246505153
0.97633 0.4298894948772511
1.0 0.09320355223096403
Constraint rz_dt_disc_eq
0.010337 -0.2073229146701577
0.042997 -0.28227733976769737
0.06666666666666667 -0.06120003179488688
0.077003 -0.2073229146699168
0.109663 -0.2822773397680711
0.13333333333333333 -0.061200031794534614
0.14367 -0.20732291466980465
0.17633 -0.2822773397682409
0.2 -0.06120003179437235
0.210337 -0.20732291467689834
0.242997 -0.2822773397571165
0.26666666666666666 -0.0612000318049035
0.277003 -0.2073229146389596
0.309663 -0.2822773398165645
0.3333333333333333 -0.06120003174860496
0.34367 -0.2073229146418345
0.37633 -0.2822773398120606
0.4 -0.0612000317528747
0.410337 -0.20732291465222147
0.442997 -0.282277339795785
0.4666666666666667 -0.06120003176829442
0.477003 -0.20732291467040126
0.509663 -0.28227733976728847
0.5333333333333333 -0.06120003179527597
0.54367 -0.20732291468847933
0.57633 -0.28227733973894426
0.6 -0.061200031822101555
0.610337 -0.20732291470340433
0.642997 -0.2822773397155427
0.6666666666666666 -0.06120003184424612
0.677003 -0.2073229146764562
0.709663 -0.2822773397577819
0.7333333333333333 -0.061200031804259335
0.74367 -0.20732291468860253
0.77633 -0.2822773397387464
0.8 -0.061200031822282695
0.810337 -0.2073229146927097
0.842997 -0.28227733973230895
0.8666666666666667 -0.06120003182837828
0.877003 -0.20732291469765515
0.909663 -0.2822773397245595
0.9333333333333333 -0.0612000318357176
0.94367 -0.20732291470359643
0.97633 -0.28227733971524943
1.0 -0.06120003184453517
Constraint vx_dt_disc_eq
0.010337 -2.8329707318180453
0.042997 -5.6103293754142705
0.06666666666666667 -1.4918373898221484
0.077003 -5.461317293384456
0.109663 -9.188914388687651
0.13333333333333333 -2.2677038366591944
0.14367 -8.08966385495298
0.17633 -12.767499401955853
0.2 -3.043570283499207
0.210337 -10.718010416511447
0.242997 -16.346084415247848
0.26666666666666666 -3.81943673032539
0.277003 -13.346356978103397
0.309663 -19.924669428460085
0.3333333333333333 -4.5953031771977955
0.34367 -15.974703539633971
0.37633 -23.5032544418184
0.4 -5.371169623985518
0.410337 -18.60305010116391
0.442997 -27.08183945517807
0.4666666666666667 -6.147036070772403
0.477003 -21.231396662715554
0.509663 -30.66042446848615
0.5333333333333333 -6.9229025175892325
0.54367 -23.85974322429467
0.57633 -34.23900948172884
0.6 -7.698768964443973
0.610337 -26.488089785885176
0.642997 -37.81759449494448
0.6666666666666666 -8.474635411314416
0.677003 -29.11643634755517
0.709663 -41.39617950797101
0.7333333333333333 -9.250501858294541
0.74367 -31.744782909118886
0.77633 -44.97476452125075
0.8 -10.026368305127935
0.810337 -34.37312947070137
0.842997 -48.553349534485754
0.8666666666666667 -10.802234751987266
0.877003 -37.00147603228562
0.909663 -52.131934547717115
0.9333333333333333 -11.57810119884891
0.94367 -39.62982259387247
0.97633 -55.71051956094351
1.0 -12.35396764571412
Constraint vy_dt_disc_eq
0.010337 32.72734437171705
0.042997 42.38962916186872
0.06666666666666667 8.849477980885466
0.077003 29.474356419096438
0.109663 37.960573227736006
0.13333333333333333 7.889222495040738
0.14367 26.221368466476136
0.17633 33.5315172936027
0.2 6.928967009196403
0.210337 22.968380513873758
0.242997 29.102461359426854
0.26666666666666666 5.968711523376776
0.277003 19.715392561160247
0.309663 24.673405425515597
0.3333333333333333 5.008456037403748
0.34367 16.46240460854811
0.37633 20.244349491363312
0.4 4.048200551570543
0.410337 13.20941665595442
0.442997 15.815293557167102
0.4666666666666667 3.087945065762794
0.477003 9.95642870337947
0.509663 11.386237622926396
0.5333333333333333 2.1276895799808777
0.54367 6.703440750803759
0.57633 6.957181688687539
0.6 1.1674340941978987
0.610337 3.4504527982201023
0.642997 2.528125754467619
0.6666666666666666 0.20717860840394192
0.677003 0.19746484553219423
0.709663 -1.9009301795042437
0.7333333333333333 -0.7530768775338638
0.74367 -3.0555231070577413
0.77633 -6.329986113709239
0.8 -1.7133323633364692
0.810337 -6.3085110596677865
0.842997 -10.759042047866405
0.8666666666666667 -2.673587849166819
0.877003 -9.56149901227581
0.909663 -15.18809798202842
0.9333333333333333 -3.633843334994373
0.94367 -12.814486964881445
0.97633 -19.61715391619618
1.0 -4.594098820818611
Constraint vz_dt_disc_eq
0.010337 -21.857713322169275
0.042997 -28.335293714321384
0.06666666666666667 -5.91945257032908
0.077003 -19.72171140461591
0.109663 -25.427053011912566
0.13333333333333333 -5.2889222428332054
0.14367 -17.585709487062772
