time,rx,ry,rz,vx,vy,vz,ux,uy,uz,thrust,mass_prop,time_dt,rx_dt,ry_dt,rz_dt,vx_dt,vy_dt,vz_dt,mass_prop_dt,tf,noncollocation_error,nfe,ncp,v_norm,u_norm
0.0,10000.0,2500.0,-1300.0,-15.0,85.0,-60.0,0.577350269189626,0.577350269189626,0.577350269189626,15000.0,694.0,154.5416666232561,-2656.6274865989794,12365.92249097832,-8758.223869498008,-208.600237280118,-482.3926697877655,322.1770934169998,-787.9418839341499,0.0,0.0,15,3,105.11898020814318,1.0000000000000002
1.5974562617782748,9974.287139005777,2631.8073903194995,-1393.1920051223412,-17.190363897623442,80.01675380610551,-56.67224937368464,0.07179871809151775,-0.829440751377268,0.5539611755665986,15000.0,685.8552604524583,154.5416666232561,-2656.6274865989794,12365.92249097832,-8758.223869498008,-208.600237280118,-482.3926697877655,322.1770934169998,-787.9418839341499,154.5416666232561,0.023137951664585224,15,3,99.54864815592784,1.0
6.644765958128719,9870.911471950218,2995.8683436053248,-1652.6401768967105,-23.64594977716733,64.23742042359012,-46.12919220667897,0.10937238637953622,-0.8263783797603903,0.5523915772006645,15000.0,660.1211862844061,154.5416666232561,-3654.2844874532493,9927.358011840408,-7128.882243604687,-186.33449312919055,-483.7347924692599,323.35190695140017,-787.9418839327182,154.5416666232561,0.023137951664585224,15,3,82.54380350566677,1.0
10.302777774883738,9776.602345601415,3209.902224997523,-1807.375873338154,-27.850727211885662,52.78180448880132,-38.46912278202778,0.13876581026311738,-0.8231493531407131,0.5506080205791105,15000.0,641.470548011115,154.5416666232561,-4304.097799994482,8156.988033082215,-5945.082348269244,-168.7441799456175,-484.12466604822373,323.83299952708325,-787.9418839326659,154.5416666232561,0.023137951664585224,15,3,71.00320625819404,1.0
11.900234036662011,9730.74983003798,3290.227021578355,-1866.158063695774,-29.55329577126509,47.77772222420766,-35.121346821692576,0.15220263651780264,-0.8214272336980057,0.5496286538893979,15000.0,633.3258015235925,154.5416666232561,-4567.215582701333,7383.648819992034,-5427.71147187777,-160.65612302611584,-484.1122044569462,323.9263666353241,-787.9418839327095,154.5416666232561,0.029543367670214787,15,3,66.25418503345307,1.0
16.94754373301245,9569.05875391398,3491.4798762871965,-2016.722322068857,-34.36244984874989,31.97724367533842,-24.54349280856861,0.1971681061992955,-0.8145265062830916,0.5455926213394421,15000.0,607.5917273555592,154.5416666232561,-5310.4302688838625,4941.816531604774,-3792.9922833920946,-133.39023402373576,-483.2066417047647,323.6653150790212,-787.9418839327099,154.5416666232561,0.029543367670214787,15,3,52.96890702972907,0.9999999999999999
20.605555549767455,9437.896667491588,3587.557921159574,-2092.502610055447,-37.26864784564283,20.557357966352228,-16.890923101346164,0.2322279963317196,-0.8079089972072759,0.541620909817271,15000.0,588.9410890822669,154.5416666232561,-5759.5589508608655,3176.968361490944,-2610.351406887294,-111.93073621761751,-481.5794375519974,322.85009081200195,-787.9418839326079,154.5416666232561,0.029543367670214787,15,3,45.79148787727773,0.9999999999999999
22.203011811545725,9377.473760117224,3616.4322847318763,-2116.8264178092622,-38.375044696766494,15.584766374304856,-13.556650072722515,0.24820759193966035,-0.8045257307498279,0.5395658809311153,15000.0,580.7963425947454,154.5416666232561,-5930.543364180239,2408.495769419153,-2095.0672960668235,-102.09508704754688,-480.56920876023867,322.300131074015,-787.9418839326885,154.5416666232561,0.037017223181750436,15,3,43.58109406169993,1.0
27.250321507896167,9176.23788063086,3655.579279989073,-2158.7390368297615,-41.17889233593142,-0.04232560306281075,-3.0691985692450574,0.3013962985285605,-0.7915626136461685,0.5315909140597961,15000.0,555.0622684267112,154.5416666232561,-6363.85465129447,-6.541069238161168,-474.31906208884425,-69.12195750039768,-475.9822212524797,319.65610769096037,-787.9418839326726,154.5416666232561,0.037017223181750436,15,3,41.2931343606702,1.0
30.908333324651146,9022.984907001472,3634.8891618225935,-2156.170262649678,-42.51376253095672,-11.253918493525347,4.46423805168309,0.3424836474230801,-0.7796954474977358,0.5241945825731976,15000.0,536.411630153425,154.5416666232561,-6570.14771595939,-1739.1993200316904,689.9107887100624,-43.41413997890894,-471.12554674522505,316.74092763815946,-787.9418839320648,154.5416666232561,0.037017223181750436,15,3,44.204073425189975,1.0
32.50578958642942,8953.935421971662,3614.8410921821496,-2147.6465992550093,-44.0778372295156,-13.492370211450845,5.969674308971912,0.3610752339478188,-0.7737735871830381,0.5204796933670142,6284.471918768876,532.6519878984411,154.5416666232561,-6811.862426597945,-2085.1333791755883,922.5634169065539,-158.85926916299962,-196.07801251598264,131.89210063613984,-330.11990624527334,154.5416666232561,0.7951852540148416,15,3,46.48157484541286,0.9999999999999999
37.553099282779854,8717.175766391838,3533.8456364450512,-2108.8375977134933,-49.84052498254662,-18.281105638251965,9.19307707627444,0.4222339593361893,-0.7517425686824581,0.5065585790547673,3579.9440894129743,524.5059728318327,154.5416666232561,-7702.437796180788,-2825.1925330512627,1420.7134527635026,-189.27741226461802,-108.7465870079865,73.27843185516112,-188.0525241318681,154.5416666232561,0.7951852540148416,15,3,53.87754096117513,1.0
41.21111109953482,8526.617050320458,3462.5188280117077,-2072.2064983767873,-54.40018951699411,-20.547853911040427,10.72168680178089,0.4685904011753703,-0.7322757581064736,0.4941611579392849,3000.0,520.5354824028632,154.5416666232561,-8407.095952577256,-3175.4995889433785,1656.9473473597873,-193.493685024107,-88.86224101977945,59.96684641447484,-157.58837363485634,154.5416666232561,0.7951852540148416,15,3,59.131628488566236,1.0
